Time,Price
2012/3/24,4.7
2012/3/25,4.6
2012/3/26,4.6
2012/3/27,4.8
2012/3/28,4.8
2012/3/29,4.8
2012/3/30,4.9
2012/3/31,4.9
2012/4/1,4.8
2012/4/2,5
2012/4/3,4.9
2012/4/4,4.9
2012/4/5,4.9
2012/4/6,4.9
2012/4/7,4.7
2012/4/8,4.8
2012/4/9,4.9
2012/4/10,4.8
2012/4/11,4.9
2012/4/12,4.9
2012/4/13,4.9
2012/4/14,5
2012/4/15,5
2012/4/16,4.9
2012/4/17,5
2012/4/18,5.1
2012/4/19,5.1
2012/4/20,5.3
2012/4/21,5.3
2012/4/22,5.2
2012/4/23,5
2012/4/24,5.1
2012/4/25,5.1
2012/4/26,5.1
2012/4/27,5.1
2012/4/28,5
2012/4/29,4.9
2012/4/30,4.9
2012/5/1,5
2012/5/2,5.1
2012/5/3,5.1
2012/5/4,5.1
2012/5/5,5.1
2012/5/6,5.1
2012/5/7,5.1
2012/5/8,5.1
2012/5/9,5
2012/5/10,4.8
2012/5/11,5
2012/5/12,4.9
2012/5/13,4.9
2012/5/14,5
2012/5/15,5
2012/5/16,5.1
2012/5/17,5.1
2012/5/18,5.1
2012/5/19,5.1
2012/5/20,5.1
2012/5/21,5.1
2012/5/22,5.1
2012/5/23,5.1
2012/5/24,5.1
2012/5/25,5.2
2012/5/26,5.1
2012/5/27,5.1
2012/5/28,5.1
2012/5/29,5.2
2012/5/30,5.1
2012/5/31,5.2
2012/6/1,5.3
2012/6/2,5.3
2012/6/3,5.2
2012/6/4,5.3
2012/6/5,5.4
2012/6/6,5.5
2012/6/7,5.6
2012/6/8,5.6
2012/6/9,5.6
2012/6/10,5.5
2012/6/11,5.6
2012/6/12,5.7
2012/6/13,5.9
2012/6/14,5.9
2012/6/15,6.5
2012/6/16,6.4
2012/6/17,6.2
2012/6/18,6.3
2012/6/19,6.5
2012/6/20,6.7
2012/6/21,6.7
2012/6/22,6.6
2012/6/23,6.4
2012/6/24,6.3
2012/6/25,6.3
2012/6/26,6.4
2012/6/27,6.7
2012/6/28,6.6
2012/6/29,6.7
2012/6/30,6.7
2012/7/1,6.6
2012/7/2,6.8
2012/7/3,6.4
2012/7/4,6.5
2012/7/5,6.7
2012/7/6,6.7
2012/7/7,6.8
2012/7/8,6.8
2012/7/9,7
2012/7/10,7.2
2012/7/11,7.2
2012/7/12,7.8
2012/7/13,7.7
2012/7/14,7.5
2012/7/15,7.6
2012/7/16,8.5
2012/7/17,8.8
2012/7/18,9.1
2012/7/19,8.9
2012/7/20,8.5
2012/7/21,8.9
2012/7/22,8.4
2012/7/23,8.4
2012/7/24,8.6
2012/7/25,8.8
2012/7/26,8.9
2012/7/27,8.9
2012/7/28,8.9
2012/7/29,8.7
2012/7/30,9.1
2012/7/31,9.4
2012/8/1,9.6
2012/8/2,10.5
2012/8/3,11
2012/8/4,11
2012/8/5,10.9
2012/8/6,10.9
2012/8/7,11.1
2012/8/8,11.1
2012/8/9,11.1
2012/8/10,11.4
2012/8/11,11.5
2012/8/12,11.6
2012/8/13,12
2012/8/14,12.2
2012/8/15,13.3
2012/8/16,13.5
2012/8/17,11.6
2012/8/18,11.6
2012/8/19,8
2012/8/20,10.1
2012/8/21,9.9
2012/8/22,9.8
2012/8/23,10.1
2012/8/24,10.6
2012/8/25,10.5
2012/8/26,10.6
2012/8/27,10.9
2012/8/28,10.9
2012/8/29,10.9
2012/8/30,10.8
2012/8/31,10.2
2012/9/1,10
2012/9/2,10.2
2012/9/3,10.5
2012/9/4,10.4
2012/9/5,11
2012/9/6,11.2
2012/9/7,11
2012/9/8,11
2012/9/9,11
2012/9/10,11.2
2012/9/11,11.3
2012/9/12,11.4
2012/9/13,11.4
2012/9/14,11.7
2012/9/15,11.8
2012/9/16,11.9
2012/9/17,11.9
2012/9/18,12.3
2012/9/19,12.6
2012/9/20,12.3
2012/9/21,12.4
2012/9/22,12.2
2012/9/23,12.2
2012/9/24,12.1
2012/9/25,12.2
2012/9/26,12.3
2012/9/27,12.3
2012/9/28,12.4
2012/9/29,12.4
2012/9/30,12.4
2012/10/1,12.4
2012/10/2,12.8
2012/10/3,12.9
2012/10/4,12.9
2012/10/5,12.7
2012/10/6,12.5
2012/10/7,11.8
2012/10/8,11.8
2012/10/9,11.9
2012/10/10,12.1
2012/10/11,12
2012/10/12,12
2012/10/13,11.9
2012/10/14,11.7
2012/10/15,11.8
2012/10/16,11.9
2012/10/17,11.8
2012/10/18,11.9
2012/10/19,11.7
2012/10/20,11.7
2012/10/21,11.6
2012/10/22,11.7
2012/10/23,11.6
2012/10/24,11.6
2012/10/25,10.9
2012/10/26,10.2
2012/10/27,10.3
2012/10/28,10.7
2012/10/29,10.6
2012/10/30,10.9
2012/10/31,11.2
2012/11/1,10.6
2012/11/2,10.5
2012/11/3,10.6
2012/11/4,10.8
2012/11/5,10.8
2012/11/6,10.9
2012/11/7,10.9
2012/11/8,10.9
2012/11/9,10.8
2012/11/10,10.9
2012/11/11,10.9
2012/11/12,11
2012/11/13,10.9
2012/11/14,10.9
2012/11/15,11.2
2012/11/16,11.8
2012/11/17,11.8
2012/11/18,11.6
2012/11/19,11.8
2012/11/20,11.7
2012/11/21,11.8
2012/11/22,12.4
2012/11/23,12.3
2012/11/24,12.4
2012/11/25,12.5
2012/11/26,12.3
2012/11/27,12.2
2012/11/28,12.4
2012/11/29,12.4
2012/11/30,12.6
2012/12/1,12.6
2012/12/2,12.5
2012/12/3,12.7
2012/12/4,13.4
2012/12/5,13.4
2012/12/6,13.3
2012/12/7,13.5
2012/12/8,13.4
2012/12/9,13.4
2012/12/10,13.4
2012/12/11,13.6
2012/12/12,13.7
2012/12/13,13.7
2012/12/14,13.6
2012/12/15,13.5
2012/12/16,13.3
2012/12/17,13.3
2012/12/18,13.3
2012/12/19,13.6
2012/12/20,13.5
2012/12/21,13.5
2012/12/22,13.4
2012/12/23,13.3
2012/12/24,13.4
2012/12/25,13.4
2012/12/26,13.5
2012/12/27,13.4
2012/12/28,13.4
2012/12/29,13.4
2012/12/30,13.4
